Name,Date,Average,Retail,Search,White sold,White price,Black sold,Black price,Red sold,Red price,Navy sold,Navy price,Grey sold,Grey price
Banner Tee,8/22/2019,40.24182314,38,supreme-Banner-Tee-black,1278,42,2391,48,503,23,567,35,813,39
Smoke Tee,8/22/2019,31.41015348,38,supreme-Smoke-Tee-black,1101,23,1645,44,357,22,408,30,,
Mary J. Blige Tee,8/22/2019,22.29774812,48,supreme-Mary-J-Blige-Tee-black,1259,16,2393,31,476,11,527,23,560,13
Heaven and Earth Tee,8/22/2019,19.72753623,38,supreme-Heaven-and-Earth-Tee-black,287,22,660,21,71,14,124,19,110,16
Save The Planet Tee,8/22/2019,12.80266344,38,supreme-Save-The-Planet-Tee-black,156,16,472,12,32,12,,,68,12
New Shit Tee,8/22/2019,17.20233918,38,supreme-New-Shit-Tee-black,219,18,428,18,37,14,61,16,81,15
Queen Tee,8/22/2019,18.74788335,38,supreme-Queen-Tee-black,154,24,488,19,123,19,95,13,79,17
Levitation Tee,8/22/2019,26.89973615,38,supreme-Levitation-Tee-black,209,28,624,30,41,19,,,71,16
Faces L/S Tee,8/22/2019,21.31418312,40,supreme-faces-l-s-tee-black,186,23,222,23,,,28,18,33,15
Super Cream Tee,8/22/2019,8.927083333,38,supreme-Super-Cream-Tee-black,48,12,141,9,19,7,15,10,15,9
Supreme/The Velvet Underground Tee,9/19/2019,6.802067947,48,supreme-the-velvet-underground-tee-black,157,7,411,8,46,2,,,,
Supreme/The Velvet Underground & Nico Tee,9/19/2019,10.50102249,48,supreme-the-velvet-underground-nico-tee-black,183,15,240,6,23,15,,,,
Supreme/The Velvet Underground Drawing Tee,9/19/2019,9.849315068,48,supreme-the-velvet-underground-drawing-tee-black,59,13,114,8,11,4,,,,
Pillows Tee,10/10/2019,30.57742563,38,supreme-Pillows-Tee-black,782,32,1479,36,,,293,28,,
Life Tee,10/10/2019,16.89786585,38,supreme-Life-Tee-black,127,18,305,19,21,8,,,67,12
Bible Tee,10/10/2019,31.37052632,38,supreme-Bible-Tee-black,305,35,679,38,72,16,60,22,,
Mercenary Tee,10/10/2019,18.66536965,38,supreme-Mercenary-Tee-black,114,20,289,20,27,20,,,36,12
American Picture Tee,10/10/2019,15.49530516,38,supreme-American-Picture-Tee-black,55,18,192,18,,,31,14,,
Cheese Tee,10/10/2019,14.69665272,38,supreme-Cheese-Tee-black,75,21,177,14,18,14,33,15,45,15
We're Back Tee,10/10/2019,11.67235495,38,supreme-were-back-tee-black,44,16,161,11,7,7,,,19,8
Inc. Tee,10/10/2019,18.04950495,38,supreme-Inc-Tee-black,28,20,143,18,14,14,,,23,18
Heroines Tee,10/10/2019,15.04803493,48,supreme-Heroines-Tee-black,68,13,104,17,,,10,16,,
SF Box Logo Tee,10/24/2019,404,48,supreme-san-francisco-box-logo-tee-black,,,2588,404,,,,,,
Supreme/dead prez Tee,12/5/2019,13.99561404,48,supreme-dead-prez-tee-black,42,11,106,16,13,9,,,14,20
Supreme/dead prez RBG Tee,12/5/2019,20.64766839,48,supreme-dead-prez-rbg-tee-black,149,25,126,19,27,23,,,37,18
Bandana Box Logo Tee,12/19/2019,239.9075827,38,supreme-Bandana-Box-Logo-Tee-black,1562,253,1560,275,1247,216,1004,231,1307,241
Aguila Tee,12/19/2019,30.59798995,38,supreme-Aguila-Tee-black,366,18,760,41,79,26,114,31,,
Bite Tee,12/19/2019,22.71559633,38,supreme-Bite-Tee-black,126,25,298,24,37,21,32,23,52,15
Eat Me Tee,12/19/2019,14.12550607,38,supreme-Eat-Me-Tee-black,216,13,278,15,,,,,,
Bridge Tee,12/19/2019,27.11954459,38,supreme-Bridge-Tee-black,127,34,224,29,21,20,41,23,46,18
D'Hiver Tee,12/19/2019,18.98333333,38,supreme-d-hiver-tee-black,42,18,155,22,,,17,11,24,15
Money Power Respect Tee,12/19/2019,16.51025641,38,supreme-Money-Power-Respect-Tee-black,45,17,188,18,14,19,25,18,22,11
Clowns Tee,12/19/2019,13.69907407,48,supreme-clowns-tee-bleached-black,,,92,15,45,7,79,16,,
